name,org_name,starts_on,ends_on,location,categories,theme,description
Kappa Kappa Gamma Spring Egg Hunt,"Kappa Kappa Gamma, Eta Alpha chapter",2021-04-15T15:00:00+00:00,2021-04-15T23:00:00+00:00,Campus,Greek Life Event; Community Service,CommunityService,"Want to find some free candy and the chance to win a free gift card? KKG has got you covered! On Thursday, April 15th from 11:00 a.m. to 7:00 p.m., the members of Kappa Kappa Gamma will be hosting a spring egg hunt on campus to raise money for our national philanthropy, Reading Is Fundamental. Eggs will be hidden outside Trone, the DH, the library, and residence halls and apartments. Once you sign up to participate, you will be entered into a raffle to win a $15 gift card to Sidewall, Mr. Salsa, Pink Mama's, or Amazon. If you have any questions, please contact Kate McCormick at kate.mccormick@furman.edu We hope your backpacks will be filled with eggs, chocolate, and maybe a gift card too!"
Pi Kappa Phi Philanthropy Tabling/Ticket Sales,Pi Kappa Phi,2021-04-15T14:00:00+00:00,2021-04-15T18:00:00+00:00,Trone Student Center,,Fundraising,Pi Kappa Phi will be selling tickets to an event we will host on that Friday in order to raise money for our philanthropy: the Ability Experience.
Pop Up Bistro: Pasta Bar,Office of Student Involvement and Inclusion,2021-04-14T22:00:00+00:00,2021-04-15T00:00:00+00:00,Milford Mall Tent,,Social,"Milford Mall Tent, 6-8pm Sponsored by Bon Appetit"
Vinyl Kit Wednesday,Furman University Student Activities Board,2021-04-14T15:00:00+00:00,2021-04-14T18:00:00+00:00,Milford Mall/ Library Steps,,Social,"FUSAB will be hosting a record-themed Wednesday on the Lawn. Attendees will be able to pick up a kit full of materials to decorate used vinyl records for apartment/dorm decor, in addition to entering a raffle to win a number of prizes including a new record player! Plus, we’ll have good tunes playing loud the whole time, so head out to the lawn for a good time!"
Pi Kappa Phi Penny Wars Tabling,Pi Kappa Phi,2021-04-13T12:00:00+00:00,2021-04-14T00:00:00+00:00,Trone Student Center,,Fundraising,Pi Kappa Phi will be tabling inside Trone outside of the PDen to collect money for our philanthropy: the Ability Experience.
Senior/Freshmen Partners Program,Cothran Center for Vocational Reflection,2021-04-13T23:00:00+00:00,2021-04-14T00:00:00+00:00,TBD,,Social,"We are excited about this opportunity for seniors to reflect on their time at Furman alongside Freshman at the beginning of their Furman experience... we hope the evening will spark relationships and meaningful conversations! We will have conversation cards, journals to personalize, writing prompts, and picnic blankets. If you are interested in participating, please email rolyn.rollins@furman.edu for additional information!"
DIY Bouquet on the Lawn!,Furman University Student Activities Board,2021-02-12T16:00:00+00:00,2021-02-12T19:00:00+00:00,James B. Duke Library Steps,,Social,"Love knows no bounds, not even a viral one. Do-nut worry, flowers are here. We will hold a socially distanced build your own bouquet event the Wednesday before Valentine's day. We will have flowers and individually packaged donuts for attendees. The table will be decorated with Valentines day decor to get the love going through the air. Fusabers working will make sure there are hearts on the ground that measure 6 ft distance between people are strictly followed and students will be asked to wear gloves to pick out their flowers. From there, students will be able to build their own beautiful bouquet to have and to hold on Valentines day."
The Politics of Black Twitter featuring Dr. Mia Moody-Ramirez CLP Pending,Student League for Black Culture,2021-02-12T01:00:00+00:00,2021-02-12T02:00:00+00:00,Zoom Event,,Cultural,"Dr. Mia Moody-Ramirez is a Professor and Chair of the Baylor University Department of Journalism, Public Relations and New Media. The author or co-author of four books, Dr. Moody-Ramirez has also been widely published in a variety of academic and industry journals. Her research emphasizes media framing of people of color, women and political candidates, the pros and cons of social media in political campaigns and how historical stereotypes are found in social media platforms. This event will focus on Dr. Moody-Ramirez’s research surrounding race, media and politics and will give students an opportunity to learn how race and media are intertwined. Registration Required: https://furman.zoom.us/meeting/register/tJModeCvrDsrG9HrVDu3B3g0NIvAZ0tnYCij"
RUF Large Group,Reformed University Fellowship,2021-02-12T01:00:00+00:00,2021-02-12T02:00:00+00:00,Daniel Chapel,,Spirituality,"Join us for a time of fellowship, worship, and study in God's Word."
Conversation Hearts with KD,Kappa Delta,2021-02-11T18:00:00+00:00,2021-02-11T19:30:00+00:00,Dining Hall (Closest to the Lake),,CommunityService,Come swing by the dining hall from 1:00 - 2:30 pm to share what makes you feel confident as a member of the Furman campus! Our mission as members of Kappa Delta is to instill confidence in those around us through the confidence coalition! The confidence coalition is an alliance committed to promoting self- confidence in girls and women so that they may feel empowered to overcome social barriers and be inspired to reach their greatest potential. We will be giving out valentines treats to all of those who participate!
Winter Wednesday on the Lawn,Furman University Student Activities Board,2021-02-10T16:00:00+00:00,2021-02-10T19:00:00+00:00,James B. Duke Library Steps,,Social,Come out to the lawn and get some free winter themed food! We will have ginger cookies and different kinds of hot chocolate all catered from Bon Appetit! There all sorts of different hot chocolate flavors to choose from! Make sure to show up and sign up for our raffle of winter themed items as well!
Furman Friday: Happy Black History Month!,Student League for Black Culture,2021-02-05T17:00:00+00:00,2021-02-05T19:00:00+00:00,Trone Student Center-Hill Courtyard,,Cultural,"Join the Student League for Black Culture, Furman’s Chapter of the NAACP and the Center for Inclusive Communities for as we kick-off Black History Month 2021. Learn more about month-long events happening on campus in celebration and honor of Black history and culture."
Snatch-a-Snack Food Truck: Game Day!,Office of Student Involvement and Inclusion,2021-02-05T02:00:00+00:00,2021-02-05T03:00:00+00:00,Your residential area!,,Social,"Game-day themed Snatch-a-Snack Food Truck! Featuring chicken wing dip and spinach artichoke dip. Beginning at 9pm - keep an eye out in your residential area for the truck! Sponsored by Bon Appetit, no swipes needed!"
Furman Career Connections,Malone Center for Career Engagement,2021-02-03T19:00:00+00:00,2021-02-03T23:00:00+00:00,Online,,ThoughtfulLearning,Furman Career Connections provides students with the opportunity to connect virtually with 40+ employers regarding career opportunities. Students can register to attend 30-minute small group sessions to learn more about the organization or schedule 10-minute one-on-one virtual meetings with employers.
Soups and Sammies on the Lawn,Furman University Student Activities Board,2021-02-03T16:00:00+00:00,2021-02-03T19:00:00+00:00,James B. Duke Library Steps,,Social,On February 3rd FUSAB will provide soups and sandwiches at our weekly Wednesday on the Lawn event. We are hopeful that the weather will be nice and chilly so these soups and sandwiches can warm you up!! Bon Appetit will be providing these soups and sandwiches. The soups will be served in to-go containers and sandwiches will be bite sized.
Pizza and Game Night 2.0 (Super Socially Distanced),Furman Conservative Society,2021-02-03T00:00:00+00:00,2021-02-03T02:00:00+00:00,Online,Political; Social Programmatic,Social,"Original plan: the people who signed up would gather in Trone for in person games and pizza catered by Bon Appetit. Problem: Furman said we can only gather for student organizations in groups of 10 or less. New (and never-before-tried and possibly-more-exciting) idea: We split the individuals signed up into 7 groups (one for each FCS officer). Each group will receive a text from their team captain about where to meet and any other details. Officers will host groups all over campus in their dorm (no more than 3 guests per officer) For the pizza, we will not cancel the order. Instead, we will do pizza delivery! An FCS officer will deliver the pizza to your group location. For the games, the groups that are formed will be teams which just ups the competition. Points awarded for best team name and even if the team can coordinate (all wear red or something). We even have a prize for the team that wins the most games (like a giant tournament). Benefits of the new idea: It’s new and special! We can still have the event. Having the small groups fosters new and deeper friendships that may not have formed otherwise! Who does not just love some good team competition?!"
In-Person Student Involvement Fair!,Office of Student Involvement and Inclusion,2020-10-07T21:00:00+00:00,2020-10-07T22:00:00+00:00,Trone Student Center Front Patio,,Social,"Meet representatives from different student organizations! Learn more about the organization and how to get involved! Different student organizations will be present each day - check back for a list of who will be participating on each date. October 6, 7, 8 and October 13, 14, 15 from 5-6PM on the Front Patio of the Trone Student Center. Organizations participating on October 7: Furman University News Channel Club Ultimate Frisbee FU Dance Club Women's Club Lacrosse Furman Badminton Club Order of Furman Theater The Den The Cothran Center for Vocational Reflection"
Wednesdays on the Lawn,Furman University Student Activities Board,2020-10-07T16:00:00+00:00,2020-10-07T17:30:00+00:00,Furman University,,Social,Enjoy Wednesday's out on the Furman Mall socially distanced with FUSAB!
Wesley Fellowship Gathering,Furman Wesley Fellowship,2020-10-07T00:00:00+00:00,2020-10-07T01:15:00+00:00,Labyrinth [Lawn] behind Daniel Chapel,Religious,Spirituality,"Join us for a night of LIVE worship and fellowship. We will gather on the lawn behind Daniel Chapel. Look for the tent and lights. Invite any and all as we seek to reconnect with old friends and make new ones. We will be done around 9:15pm. Of course, all safety protocols will be followed ... so bring your mask!"
Kappa Delta Quesadillas,Kappa Delta,2020-10-06T22:00:00+00:00,2020-10-07T00:00:00+00:00,Hill Courtyard,Greek Life Event,Fundraising,"The Hill Courtyard is reserved, and the event is now being repurposed as a to-go/pick up orders option only. Attendees will not eat on site or hang around, and no more than 30 people (KD members + attendees) will be on site at one time. Will be setting up a tent under which to distribute the food, and 1-2 KDs will distribute orders to customers while wearing gloves. This option will serve as the light rain option, and you plan to reserve the Library Porch as a backup for more inclement weather.W Will set up a socially distant line for pick up with Xs marked on the ground every 6ft with either painter's tape or sidewalk chalk (supplies needed: measuring tape, sidewalk chalk/painter's tape). 1-2 KDs will assist with monitoring the line, and should capacity of 30 be reached, these women will ask folks to return in 15-20 minutes when the line subsides 1-2 KDs will assist with ticketing/check-in via a Google doc, and KD will keep a sign in and time stamp of when attendees picked up their order."
